group,identity,data_sha256
ターゲット群 (星形成銀河),spec-266-51630-1,dfb504515d2f213386878f085fb68c4816fb7c9acdfdfa4973534861e6e4c275
ターゲット群 (星形成銀河),spec-297-51959-102,375d85a6c29626ea34e15b73c6d8380e9091a188e46b56d98520ce5fc7d85638
ターゲット群 (星形成銀河),spec-297-51959-604,7c36df3bfab465714f18ad36e2cb870c7ed3d8f0eef26b4b67238fca5c8cc251
ターゲット群 (星形成銀河),spec-330-52370-1,ae9b8ff3c1b0afa16bf1db44c78a61f575a0daf7baee042bb1c44103dd52d793
ターゲット群 (星形成銀河),spec-341-51690-38,1252472fad39b180bf8b2f01bb0cf71667ac311ba5cdf98921ba9ea297c0ac4a
ターゲット群 (星形成銀河),spec-349-51699-433,c17938c6b07f16cb649af2b4bb89ce905125511cc875f84b14929a98e8e625cf
ターゲット群 (星形成銀河),spec-424-51893-591,3904fa96e4771ab1e97561862155fd547f03d1d2a23b9d35e38311d44d0ca047
ターゲット群 (星形成銀河),spec-573-52325-387,851d605de328e8cd20de3b025998f9a6c7e0e51e64746383313dac3bcb1165ed
ターゲット群 (星形成銀河),spec-581-52356-238,eb165f73d261058be049f5f81ed44f590c95df3cec13ddf7cc1334767977d38e
ターゲット群 (星形成銀河),spec-751-52251-329,45bbf15b89f14da6b8886b486d2ab75459c9263fca9fa8fef7f8365f41de78c7
ターゲット群 (星形成銀河),spec-841-52375-106,a87425ad553f4a6d9acf034d905250bf89ca441aacac40d2382471d13457bc68
ターゲット群 (星形成銀河),spec-846-52407-357,933e27c6c97c49ed00b2064590a3a2bcecc4de15ccc5892ff283c05772f85e45
ターゲット群 (星形成銀河),spec-850-52338-118,4e58eca455c8a5c4ff6d8813841a418eb862a7cc3fa36e1188bf6f355613e644
ターゲット群 (星形成銀河),spec-851-52376-231,d3fd631de3e8a03fd238b8c700ebbda1d11f3c06e67ba3caa78d2925defaf8cb
ターゲット群 (星形成銀河),spec-851-52376-533,ad22b601b52d3760d79f42a8950b69b988e6a58e274836a0cf03ad90070bb56b
ターゲット群 (星形成銀河),spec-852-52375-633,0596f93802187156ba2ba8c596fd612e4e16b943ee851dc382bb92535bbfe1e3
ターゲット群 (星形成銀河),spec-910-52377-585,69e1f06ad0d672a501c87ad2df7fd97f8906df801a05413f0fbc674894971c0d
ターゲット群 (星形成銀河),spec-910-52377-600,296a2263796f20b8f6e493e113a59ad9a3f47d5bfabe9cc6099b3eeb86602739
ターゲット群 (星形成銀河),spec-911-52426-227,b56a0f00ae01c578554562e2193e4892a8a882dd76be3d67221bfc499962f5d7
ターゲット群 (星形成銀河),spec-911-52426-361,fc6e9548bb0c3406b1b799c41b7257655bf0321e55b87168b02ab9ddeb33f2b7
ターゲット群 (星形成銀河),spec-1215-52725-278,53794deef3ce1bbb84d015299aeb422c60578d75d405db260bb1ed1c4c6ee4c0
ターゲット群 (星形成銀河),spec-1303-53050-220,28f7e7d51bb93d2f35e77e6d24655d133e567696209a869a8884843474d47019
